date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:48	106985/106985	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:55%20GMT	https://minetest.gitlab.io/minetest/minetest-namespace-reference/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/minetest-namespace-reference/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:50	146655/146655	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/definition-tables/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/definition-tables/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:50	165548/165548	---M--	200	added ('OK')	font/ttf	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/fontawesome-webfont.ttf?v=4.7.0	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/fontawesome-webfont3e6e.ttf	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:24:52	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/fontawesome-webfont.svg?v=4.7.0	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/fontawesome-webfont3e6e.svg	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:24:54	253461/253461	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/Lato/lato-regular.eot	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/Lato/lato-regular.eot	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:24:56	253461/253461	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/Lato/lato-regular.eot?	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/Lato/lato-regulard41d.eot	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:24:58	182708/182708	---M--	200	added ('OK')	font/woff2	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/Lato/lato-regular.woff2	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/Lato/lato-regular.woff2	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:25:00	309192/309192	---M--	200	added ('OK')	application/font-woff	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/Lato/lato-regular.woff	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/Lato/lato-regular.woff	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:25:03	607720/607720	---M--	200	added ('OK')	font/ttf	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/Lato/lato-regular.ttf	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/Lato/lato-regular.ttf	(from https://minetest.gitlab.io/minetest/css/theme.css)
10:25:03	256056/256056	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/fonts/Lato/lato-bold.eot	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/fonts/Lato/lato-bold.eot	(from https://minetest.gitlab.io/minetest/css/theme.css)
